Metadata_cell_type,Metadata_treatment,Metadata_stimulation,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Object_Count,lower_outlier_cellSpecific,corrupted
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B02,25,15890,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B03,25,15369,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B04,25,16141,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B05,25,16073,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B06,25,15761,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B07,25,14352,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B08,25,15903,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B09,25,14896,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B10,25,15310,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,B11,25,14793,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C02,25,14532,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C03,25,14493,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C04,25,14949,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C05,25,14918,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C06,25,14514,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C07,25,15257,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C08,25,14508,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C09,25,14701,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C10,25,14446,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,C11,25,14700,,
primary cfb,siCDKN2B,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D02,25,14291,,
primary cfb,siCDKN2B,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D03,25,13949,,
primary cfb,siCDKN2B,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D04,25,13783,,
primary cfb,siCDKN2B,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D05,25,13776,,
primary cfb,siCDKN2B,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D06,25,14221,,
primary cfb,siCDKN2B,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D07,25,13661,,
primary cfb,siCDKN2B,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D08,25,13262,,
primary cfb,siCDKN2B,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D09,25,13587,,
primary cfb,siCDKN2B,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D10,25,14076,,
primary cfb,siCDKN2B,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,D11,25,13563,,
primary cfb,siCDKN2A,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E02,25,10198,,
primary cfb,siCDKN2A,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E03,25,10195,,
primary cfb,siCDKN2A,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E04,25,12159,,
primary cfb,siCDKN2A,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E05,25,12553,,
primary cfb,siCDKN2A,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E06,25,10913,,
primary cfb,siCDKN2A,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E07,25,11255,,
primary cfb,siCDKN2A,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E08,25,11822,,
primary cfb,siCDKN2A,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E09,25,11971,,
primary cfb,siCDKN2A,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E10,25,12924,,
primary cfb,siCDKN2A,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,E11,25,11587,,
primary cfb,siDMRTA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F02,25,12835,,
primary cfb,siDMRTA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F03,25,13647,,
primary cfb,siDMRTA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F04,25,12748,,
primary cfb,siDMRTA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F05,25,13799,,
primary cfb,siDMRTA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F06,25,13804,,
primary cfb,siDMRTA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F07,25,14172,,
primary cfb,siDMRTA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F08,25,14513,,
primary cfb,siDMRTA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F09,25,14222,,
primary cfb,siDMRTA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F10,25,14466,,
primary cfb,siDMRTA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,F11,25,14364,,
primary cfb,siIFNA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G02,25,13949,,
primary cfb,siIFNA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G03,25,13951,,
primary cfb,siIFNA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G04,25,13944,,
primary cfb,siIFNA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G05,25,13419,,
primary cfb,siIFNA1,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G06,25,14099,,
primary cfb,siIFNA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G07,25,13432,,
primary cfb,siIFNA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G08,25,13977,,
primary cfb,siIFNA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G09,25,13562,,
primary cfb,siIFNA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G10,25,13339,,
primary cfb,siIFNA1,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE1_T11_33_07,G11,25,13591,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C02,25,15664,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C03,25,15725,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C04,25,15664,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C05,25,15688,,
primary cfb,untreated,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C06,25,16152,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C07,25,15138,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C08,25,15647,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C09,25,15431,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C10,25,15543,,
primary cfb,untreated,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,C11,25,14906,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D02,25,13810,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D03,25,13952,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D04,25,14127,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D05,25,14159,,
primary cfb,nontargeting control,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D06,25,13544,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D07,25,13178,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D08,25,14211,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D09,25,14478,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D10,25,14171,,
primary cfb,nontargeting control,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,D11,25,14121,,
primary cfb,siMTAP,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E02,25,10687,,
primary cfb,siMTAP,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E03,25,9811,,
primary cfb,siMTAP,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E04,25,10143,,
primary cfb,siMTAP,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E05,25,10895,,
primary cfb,siMTAP,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E06,25,11273,,
primary cfb,siMTAP,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E07,25,8544,1,
primary cfb,siMTAP,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E08,25,11894,,
primary cfb,siMTAP,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E09,25,9671,,
primary cfb,siMTAP,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E10,25,11923,,
primary cfb,siMTAP,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,E11,25,11662,,
primary cfb,siANRIL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F02,25,11767,,
primary cfb,siANRIL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F03,25,11860,,
primary cfb,siANRIL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F04,25,12004,,
primary cfb,siANRIL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F05,25,12029,,
primary cfb,siANRIL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F06,25,12408,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F07,25,12244,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F08,25,12247,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F09,25,12738,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F10,25,13306,,
primary cfb,siANRIL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,F11,25,13163,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G02,25,15819,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G03,25,15670,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G04,25,15317,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G05,25,15279,,
primary cfb,siALL,basal,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G06,25,15501,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G07,25,15332,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G08,25,15412,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G09,25,15040,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G10,25,15511,,
primary cfb,siALL,tgfb,2024_0523_LP_FAA_PRIMARY_CFB_PLATE2_T12_10_14,G11,25,15515,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B02,25,8932,,
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B03,25,8372,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B04,25,7995,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B05,25,8019,,1
primary smc,untreated,basal,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B06,25,8792,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B07,25,8181,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B08,25,7285,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B09,25,7868,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B10,25,7877,,
primary smc,untreated,tgfb,2024_0528_LP_FAA_PRIMARY_SMC_PLATE1_T13_52_10,B11,25,7459,,
