"features","Compartment","Channel","Measure"
"Cells_AreaShape_Area","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_BoundingBoxArea","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_BoundingBoxMaximum_X","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_BoundingBoxMaximum_Y","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_BoundingBoxMinimum_X","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_BoundingBoxMinimum_Y","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Center_X","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Center_Y","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Compactness","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_ConvexArea","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Eccentricity","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_EquivalentDiameter","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_EulerNumber","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Extent","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_FormFactor","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MajorAxisLength","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MaxFeretDiameter","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MaximumRadius","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MeanRadius","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MedianRadius","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MinFeretDiameter","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_MinorAxisLength","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Orientation","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Perimeter","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Solidity","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Zernike_0_0","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Zernike_1_1","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
"Cells_AreaShape_Zernike_2_0","Cells","Compartment","Location/Shape/Size/
Neighbor/Count"
