Feature,clusternum,cluster_name
Cells_AreaShape_Area,106,Cells_AreaShape_Area
Cells_AreaShape_Compactness,16,Cells_AreaShape_Compactness
Cells_AreaShape_ConvexArea,106,Cells_AreaShape_Area
Cells_AreaShape_Eccentricity,821,Cells_AreaShape_Eccentricity
Cells_AreaShape_EquivalentDiameter,106,Cells_AreaShape_Area
Cells_AreaShape_Extent,8,Cells_AreaShape_Extent
Cells_AreaShape_FormFactor,16,Cells_AreaShape_Compactness
Cells_AreaShape_MajorAxisLength,104,Cells_AreaShape_MajorAxisLength
Cells_AreaShape_MaxFeretDiameter,104,Cells_AreaShape_MajorAxisLength
Cells_AreaShape_MaximumRadius,106,Cells_AreaShape_Area
Cells_AreaShape_MeanRadius,106,Cells_AreaShape_Area
Cells_AreaShape_MedianRadius,106,Cells_AreaShape_Area
Cells_AreaShape_MinFeretDiameter,106,Cells_AreaShape_Area
Cells_AreaShape_MinorAxisLength,106,Cells_AreaShape_Area
Cells_AreaShape_Orientation,722,Cells_AreaShape_Orientation
Cells_AreaShape_Perimeter,104,Cells_AreaShape_MajorAxisLength
Cells_AreaShape_Solidity,17,Cells_AreaShape_Solidity
Cells_AreaShape_Zernike_0_0,818,Cells_AreaShape_Zernike_0_0
Cells_AreaShape_Zernike_1_1,821,Cells_AreaShape_Eccentricity
Cells_AreaShape_Zernike_2_0,818,Cells_AreaShape_Zernike_0_0
Cells_AreaShape_Zernike_2_2,1,Cells_AreaShape_Zernike_2_2
Cells_AreaShape_Zernike_3_1,574,Cells_AreaShape_Zernike_3_1
Cells_AreaShape_Zernike_3_3,817,Cells_AreaShape_Zernike_3_3
Cells_AreaShape_Zernike_4_0,829,Cells_AreaShape_Zernike_4_0
Cells_AreaShape_Zernike_4_2,332,Cells_AreaShape_Zernike_4_2
Cells_AreaShape_Zernike_4_4,1,Cells_AreaShape_Zernike_2_2
Cells_AreaShape_Zernike_5_1,33,Cells_AreaShape_Zernike_5_1
Cells_AreaShape_Zernike_5_3,841,Cells_AreaShape_Zernike_5_3
Cells_AreaShape_Zernike_5_5,816,Cells_AreaShape_Zernike_5_5
Cells_AreaShape_Zernike_6_0,822,Cells_AreaShape_Zernike_6_0
Cells_AreaShape_Zernike_6_2,823,Cells_AreaShape_Zernike_6_2
