"reference","treatment","stimulation","pvalue","Metadata_Plate","featureName","effectSize","direction","referenceMean","treatmentMean","referenceN","treatmentN","qvalue"
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Orientation",0.801783725737273,"inc",-1.07354432276133,0.568434989379595,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Zernike_8_4",0.801783725737273,"dec",-0.0982800725786577,-1.23614398827269,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Correlation_AGP_DNA",0.801783725737273,"inc",-0.418887564129669,0.797623408175057,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Correlation_AGP_Mito",0.801783725737273,"inc",0.40503077130628,1.23614398827269,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Granularity_2_DNA",0.801783725737273,"dec",1.37955249110571,0.314165673097252,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Granularity_9_BODIPYRNA",0.801783725737273,"dec",0.156502627855836,-1.09204147319778,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Intensity_MassDisplacement_AGP",0.801783725737273,"inc",-0.659633246594136,0.311646421150845,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Mean_LargeBODIPYObjects_AreaShape_MeanRadius",0.801783725737273,"inc",-0.100576993991048,0.941725923249967,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Mean_LargeBODIPYObjects_AreaShape_MinFeretDiameter",0.801783725737273,"inc",-0.915979613722679,0.86080569913153,3,4,0.498310291858679
"nontargeting control","siMTAP","basal",0.0571428571428571,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Mean_LargeBODIPYObjects_AreaShape_Orientation",0.801783725737273,"inc",-1.04946085959672,0.429819952929836,3,4,0.498310291858679
