"basal","tgfb","pvalue","Metadata_Plate","featureName","effectSize","direction","basalMean","tgfbMean","basalN","tgfbN","qvalue"
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Zernike_4_2",0.790569415042095,"inc",-0.955152900375237,0.878023161458348,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Zernike_5_3",0.790569415042095,"dec",0.79485838430886,-0.84516746533968,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Zernike_6_2",0.790569415042095,"inc",-0.879101438917491,0.9071885588771,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_AreaShape_Zernike_8_6",0.790569415042095,"inc",-0.659633246594136,0.771417526150692,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Correlation_AGP_Mito",0.790569415042095,"dec",0.40503077130628,-0.980601114924122,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Correlation_BODIPYRNA_DNA",0.790569415042095,"dec",0.879101438917491,-0.932601222105422,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_K_AGP_BODIPYRNA",0.790569415042095,"inc",-1.03939595498387,0.520422370814856,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Overlap_AGP_BODIPYRNA",0.790569415042095,"inc",-0.986995071075407,0.94704573460525,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Overlap_BODIPYRNA_DNA",0.790569415042095,"inc",-0.93106943721062,0.149116886070266,3,5,0.0878224280923123
"nontargeting control","nontargeting control",0.0357142857142857,"2024_0528_LP_FAA_PRIMARY_SMC_PLATE2_T14_38_35","Cells_Correlation_Overlap_BODIPYRNA_Mito",0.790569415042095,"inc",-0.879101438917491,1.1126194134601,3,5,0.0878224280923123
